Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
2020 Market Data Analyst - Mumbai,Bloomberg,"Mumbai, Maharashtra","Prior experience of data research or process engineering.
A Master’s degree in Finance or Computer science.
Our Market Data Analysts collect, analyze, process…",30+ days ago
Data Science Intern,Sankhkyiki Robotics,"Navi Mumbai, Maharashtra","Skill(s) required: data science, big data, analytics, statistics.
Work on different exercises on data science and machine learning algorithms.",30+ days ago
Senior Process Executive-Data,Cognizant,"Mumbai, Maharashtra","Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
For PV/Complaints Management Individuals in this role…",30+ days ago
Junior Data Analyst,Happy Marketer,"Mumbai, Maharashtra","Perform root cause analysis on complex data anomalies and working closely data stewards to define best practice.
Strong communication, analytical, data-mining.",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",28 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Regulatory Affairs Specialist (2 Years Exp),Canary Health Technologies,"Mumbai, Maharashtra","Bachelor’s degree in life science related field (Medical Technology, Clinical Chemistry, Biology).
He/she will represent regulatory submissions on global cross…",3 days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",28 days ago
Data Science Engineer,Mystro,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,30+ days ago
Data Science and Growth Marketing Mumbai,Hungama Digital Media Entertainment,"Mumbai, Maharashtra",Mine data using state-of-the-art methods and interpret data and solve complex problems using expertise in a variety of data niches.,30+ days ago
Associate Clinical Data Manager,Ancillarie,"Mumbai, Maharashtra","Bachelor’s Degree (Science, Pharmacy, Life science), or Final Year Appeared with zero to one year of experience in Clinical Data Management.",30+ days ago
Operations Associate,Apertum Online Pvt Ltd,"Mumbai, Maharashtra","Bachelor degree and above in a related subject (science major) would be beneficial.
The candidate is expected to be detail-oriented for financial data check…",4 days ago
Data Analytics Internship,MudraCircle,"Mumbai, Maharashtra","We have used plenty of AI, ML, and data science to build the platform.
Working on data categorization 3.
MudraCircle is an SME focused digital lending platform …",30+ days ago
Manager Hiring & Onboarding,Reliance Jio Infocomm Limited,"Mumbai, Maharashtra","Ensure recruiters follow guidelines & processes for all areas of.
Ensure designed functionality is available on the system and propose.",5 days ago
"Data Analyst, Strategy & Operations",Saavn,"Mumbai, Maharashtra","1-2 years of experience with data visualization tools such as Tableau.
+2 years experience working with Python (or R) for data analysis, visualization, and…",25 days ago
Senior Process Executive-Data,Cognizant,"Mumbai, Maharashtra","Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
For PV/Complaints Management Individuals in this role…",30+ days ago
Research Intern,Cuddles Foundation,"Mumbai, Maharashtra","Ability to conduct statistical and graphical analysis of data.
You’ll help in data collection for various projects.
But, that’s not it!",5 days ago
Manager,Transasia,"Mumbai, Maharashtra","Create effective customer service procedures, policies, and standards and strive to continually improve them.
Execute the Monthly sales targets execution as per…",4 days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",25 days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Regulatory Affairs Specialist (2 Years Exp),Canary Health Technologies,"Mumbai, Maharashtra","Bachelor’s degree in life science related field (Medical Technology, Clinical Chemistry, Biology).
He/she will represent regulatory submissions on global cross…",3 days ago
Lead Engineer - Machine Learning,Saavn Media Pvt Ltd,Mumbai City,RESPONSIBILITIES: Refine JioSaavn's recommendations and scale them to all Indian languages Personalize homepage for 100 million users Improve new user experience - solving user cold start in recommendations. Accurate categorization,"May 04, 2020"
Senior Data Scientist - AWS Professional Services,Amazon,Mumbai City,Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models Want to help the largest global enterprises derive business value through the adoption,"Apr 14, 2020"
Data Analyst-java,Saffron Consultancy Services(scs),Mumbai City,"Data Analyst - Java (Exp: 4-7 Years, CTC: 8-14 L) Number of Open Position - 1 -Strong in core JAVA and advanced JAVA including Servlets, JSP, XML etc -Knowledge on","May 01, 2020"
Data Product Analyst,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Data Product Analyst to join our core Data Product team. You ll work closely with PMs, analysts, business insights, and engineers to own and manage","May 04, 2020"
Python Data Science Internship  in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd is an IT company since 2014 in Ahmedabad, Mumbai and pune. We areLooking For Python Summer Internship. In Core Python,Django ,Machine learning ,Data Science Job","Apr 25, 2020"
Data Scientist,Teqnirvana Softech Solutions Pvt Ltd,Mumbai City,"Data Scientist NLP , ML , Python / R , Hadoop , strong mathematical bacground 5+ Year,","May 03, 2020"
Data Scientist,Podar Education,Mumbai City,Require a candidate experienced in creating Interactive Dashboards in Microsoft Power BI or Tableau. Should possess experience in Python / R Studio and capable of writing machine learning programs. Minimum,"May 02, 2020"
Data Scientist,BigTree Entertainment,Mumbai City,"What will you do: Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge","May 04, 2020"
Senior Business Development Manager,Aptus Data Labs,Mumbai City,"Aptus Data Labs is a promising Decision Science and Advanced Analytics company. We are a mission- focused team of data analysts, Technology experts, business domain experts, data science researchers, and","May 05, 2020"
